lei_alias,ald_alias,score,lei
castlepeakpowerco ltd,castlepeakpowercoltdcapco,0.9504761904761905,2549001I42I6G4P13T82
beijingenergyintlhldgsco ltd,beijingenergyinvesthldgsco ltd,0.9506349206349206,254900VFLEZ5307NZ502
aldurpowerwatercobscc,aldurpowerwater co,0.9507936507936507,558600XDB9RWKYZFCM34
eneawytwarzanie spzoo,eneawytwarzanie sa,0.9507936507936507,259400F6O3TTEFI3HV31
mainstreamrenewablepower ltd,mainstreamrenewablepoweractis,0.9509852216748769,635400LGRACISBVUXU44
consolidatededison inc,consolidatededisoncony inc,0.951048951048951,54930033SBW53OO8T749
graphicpackagingintl llc,graphicpackaging intl,0.9511904761904761,SO75N4VY5NXGQSK8YQ65
fivetons ltd,fivestone ltd,0.9512820512820512,485100AIOQXUYT16GT20
ansaldoenergiaspa,ansaladoenergia,0.9513725490196078,815600B611746717CC98
laurelcapitalsl,laurelcapitalprts,0.9513725490196078,959800PYEFGFZ5XUD148
constellationsolarhorizons llc,constellationsolararizona llc,0.9513920817369093,549300RE7YFE26V0MI12
ernestownwindpark inc,ernestownwindpark lp,0.9514285714285714,549300GJVZN1GGGDWS32
finservices,fimservices,0.9515151515151515,9695009KEAK5AOB9ZV10
nedpowermountstorm llc,nedpowermtstorm llc,0.9516746411483253,5493001DYZ4R4N5HG716
brookfieldpowerwindprincefina corp,brookfieldpowerwindprince lp,0.9516806722689075,549300QT35JCX409WQ87
cityofreno,cityofordne,0.9518181818181818,549300M4R5WWSUWY8D52
berrypetroleumco llc,berrypetroleum co,0.9523529411764705,DQ2XTZKV7SILNNV77403
championsorlando llc,championsolar llc,0.9523529411764705,549300A4ECYC57CV3440
toledorefiningco llc,toledorefining co,0.9523529411764705,549300OSALRR2OBTD672
bluestone llc,bluestem llc,0.9525641025641025,549300Y0TZXCXIHY3H11
cityofbatavia,cityofaltaia,0.9525641025641025,549300MMGDW07OKIBA04
fritolay inc,fritsolar inc,0.9525641025641025,549300RGU7Q1L13LNZ35
interagro,interrao,0.9527777777777777,969500FWFQDJOV02LZ76
sara spa,saras spa,0.9527777777777777,894500058D0BQMQZQR28
arifhabib ltd,arifhabibcorp ltd,0.9529411764705882,254900GIIV6QIW46XH35
grcatalysttwo llc,grcatalystone llc,0.9529411764705882,549300G4IMLD2SOD8L98
investarm srl,investnikarom srl,0.9529411764705882,815600AFC5F020FC1464
jaiindustries,jaiindustries ltd,0.9529411764705882,2549005NX123ZJH8TB39
photonspveightsro,photonspveight as,0.9529411764705882,3157004I816ZT1TO0939
pinetreepower llc,pinetreepower inc,0.9529411764705882,54930034IW62W82JXA82
nationalmaterialco llc,nationalmaterial lp,0.9531100478468899,549300HR5AFTIN1IPO66
arqa ltd,arqiva ltd,0.9533333333333333,254900BZR4RHSDV19770
bic corp,bicem corp,0.9533333333333333,549300YBOK2A5RS9KK96
hadleysolar llc,hadleytwosolar llc,0.9533333333333333,549300NKKPYYN15NEV29
agrenergy srl,aprenergy srl,0.9538461538461538,8156008042074D10C698
bradin llc,bradywind llc,0.9538461538461538,549300PTSBDN70E5GB14
dbconsultancy,dwconsultancy,0.9538461538461538,967600LUC2OAYK1W4518
magnetarsl,magnetarsolar,0.9538461538461538,9598001ZUW7EMUL2F686
ssenergy corp,sbenergy corp,0.9538461538461538,5493006CSVKMMTBYVQ67
volkswagen,volkswagen ag,0.9538461538461538,969500UQY1U5RRRFXL08
communitypowered,communitypower ltd,0.9541666666666667,549300N15SIAR55G5978
kltechnologies ltd,kltechnology ltd,0.9541666666666667,21380011UQNV1Y944B07
innovativesolartwothree llc,innovativesolarthreeone llc,0.9543703703703704,549300CI8XOCYU0SP798
westernpowersteamii llc,westernpowersteam inc,0.9543892339544513,549300ZE5R2UCWSJIU21
nationalcement co,nationalcementshare co,0.9545454545454545,254900IY1MRIP8LR6U38
phoenixzementwerkekrogbeumkerhldgsgmbhcokg,phoenixzementwerkekrogbeumkergmbhcokg,0.9545688545688544,52990022NLKI4JE12828
eolicamontesdecierzosl,eolicamontesdelcierzosl,0.9549407114624506,95980020140005892539
turbodiesel as,turbodisel sa,0.9549450549450549,549300MKLQKJ8NH61V32
energyservuk ltd,energydevsuk ltd,0.955,894500GKHADF9IBER540
missionloans llc,missionsolar llc,0.955,549300XCVBRR56D08F03
baywareag,bayware,0.9555555555555555,5299003G6CKQVNU65O94
glendalecenter llc,glendaleenergy llc,0.9555555555555555,54930038YWRLBW3RO865
lincolnelectric sa,lincolnelectric co,0.9555555555555555,969500H0OSTYFIT8AA07
mainou sa,mainco sa,0.9555555555555555,959800CVQ8VBDL55VY66
midwestgen llc,midwestgenseme llc,0.9555555555555555,FQQ0BN4M77850MCOBP13
meriwether llc,meriwetherfarm llc,0.9555555555555555,5493000BUB7NZ6OI8T44
sigmac hldgs,siac hldgs,0.9555555555555555,5493001RFJSNSFS9XS05
tradebegp,tradebe,0.9555555555555555,549300HT8ZFCM6CGI603
electroter sa,electroperu sa,0.956043956043956,959800THEE0UNGJJSZ20
imperialvalleysolartwo llc,imperialvalleysolarthree llc,0.956043956043956,549300U7H5OLGRH8IX83
luckytwins llc,luckywind llc,0.956043956043956,549300G5GHQTQF6TQD25
solarighldgssl,solarig hldgs,0.956043956043956,9598004YSYFEDK1LHS26
southcarolinageneratingco inc,southcarolinagenertgco inc,0.9562334217506631,WF1DFT7JGT90VIJ1YX68
smvsanantoniowest llc,sssanantoniowest llc,0.9564285714285714,549300N3M0BM70LO6Q48
scahygieneproducts,scahygieneproducts gmbh,0.9565217391304347,5493001X29LR5D1JO376
cityoffairfieldohio,cityoffairfieldil,0.9566563467492261,549300SAL2JLQEVSIP88
