latitude,longitude,source,frp,fire_id
-18.20666,137.88176,MODIS,108.15,9e07544677164d0eaea37972872e81ea
-19.04594,138.21935,MODIS,110.73,44d9f8ddfb7b4a60bb74165e94c0678b
-19.06323,138.21785,MODIS,164.69,c803a2c7d7c6bf8e8164a7054726c521
-19.04796,138.2123,MODIS,135.48,ff30395ec6f2afa51b8a3dfb34559092
-19.06524,138.21078,MODIS,111.57,431182e87faa09022ad4fe38dd3b0ac3
-18.62106,130.31371,MODIS,154.76,9d4b0a946bd8cd8dbedfd6a9ea44f7fb
-18.62253,130.32474,MODIS,65.49,f9bc06d13b6a0263357aa54bf7bc0b09
-19.94333,124.33364,MODIS,58.28,e5b9222a5d46235800dd97c05d5c0f36
-19.94525,124.34536,MODIS,93.42,d801b77fcfe8667b04060d4804ebd1fd
-20.3194,124.56052,MODIS,71.06,388fa1e519a89b087aeda4baeb8edec3
-20.32126,124.57184,MODIS,62.62,df21c422ad08721473aac526ee28bf4c
-21.31013,125.97198,MODIS,80.44,6c12328e33a03b4dd80340a5ae4680c6
-21.70493,125.54412,MODIS,77.02,9b7d651157fae7ad2237c38b138cdfd8
-22.87773,133.81808,MODIS,118.34,a9fb9c6b9d6791fdc7fb7449c5be87f3
-22.88,133.8401,MODIS,123.34,bd1655bfa379ef88db8cef03f4c8d875
-22.89089,133.81657,MODIS,191.21,9167c599d5a8f58e8d9a101bb40c578e
-22.89318,133.83858,MODIS,224.72,d41f8336f0af3c82b8591e862cae8937
-22.90636,133.8371,MODIS,79.26,3f2fcc3f7e1d8cead9b57b69ad5cdb7b
-22.88771,133.81137,MODIS,118.08,1be792fef376e23d0d80841497034b42
-22.88984,133.8334,MODIS,219.8,f03e5b669b77016a2fe82dbc54a317d3
-22.90301,133.83188,MODIS,125.22,7797baa50198bcd8a8fb6242cd9ef378
-23.1148,-53.74311,MODIS,50.27,29bfee9f20116f282d623e56ce20f8f5
-12.96979,-66.47117,MODIS,74.72,d7f7526dbc7a9f6eee68e7286617c3ad
-12.97296,-66.47594,MODIS,52.47,a737443ec5f69fba79f5132630066fb1
4.39299,-70.56096,MODIS,57.05,82b26ce7d1f2b1ae431819b3edc0cfc2
5.07942,-70.43221,MODIS,55.9,02fea6c020d99f71db3d93aca597d10c
5.40168,-70.23085,MODIS,79.03,f203b3fa9ffc95217809561994dde597
9.64359,-63.55664,MODIS,93.73,6c3ff56b110f641e5d996c5f40e73cba
9.64226,-63.56585,MODIS,116.79,864ce30a6b69df15a116cd33c4d92dd1
9.65235,-63.62389,MODIS,75.5,b5c4f51853ecc61009f347b5dbd69542
9.65102,-63.63314,MODIS,78.06,40bb6f2dc3451df04deca6ef77f34985
-27.88571,148.79245,MODIS,65.05,e504bba50955a9078f93540db746c29c
-27.7,148.21228,MODIS,66.1,274e705b4f023a7f2cf8d6f1ab1af46d
-27.70506,148.18777,MODIS,422.06,2bd1b0da5fd565d86ec8198071a535a1
-27.14914,149.49025,MODIS,60.5,246eb8cb80b595756ff08726e04ce50b
-27.15244,149.48631,MODIS,60.04,90b6314a927962958f6c14e948961849
-26.3472,150.85393,MODIS,122.05,96459d2fac508e73fee21a396a5a35b5
-26.33072,150.8495,MODIS,167.59,c011d8130f29ba9f743a5414087db444
-26.33381,150.8835,MODIS,230.63,f6779a18a14c93718155b6321d4cd220
-26.34257,150.84453,MODIS,139.13,f4b5cd5463e5b73e0163e9c67973040b
-25.04221,145.77403,MODIS,94.16,84588f681c18a5d6083d183d93746136
-25.04573,145.75533,MODIS,241.48,a6c86c757cddbe8c7cf34c798c44cc9b
-25.04925,145.73665,MODIS,279.89,a766f47da9b6164fcaac886b76d70c7d
-25.05274,145.71808,MODIS,98.51,6fdc222370cced7d827a76664680590a
-25.03374,145.75246,MODIS,362.22,2f3f2ab3df80ec792e1e07baca736669
-25.03726,145.73386,MODIS,132.48,85a926444895a9d548b11fb8a7b828be
-23.11607,150.12209,MODIS,90.16,e902e2134d7c0fa6920fc3a7e6efc9d1
-22.91516,133.82762,MODIS,51.31,d921577004b0b6a5714fdf4cfb0fd678
-22.90198,133.8423,MODIS,115.31,5e79eea1e2df6e71798e2c2e8dec8472
-22.90374,133.82613,MODIS,130.69,53c06bd2de6481ccc767a41fe8851c31
-22.9055,133.80989,MODIS,63.07,7eb72b398990d350ae042833d0d4effe
-22.90383,133.83566,MODIS,102.55,e7585d8c4454e348505fdb65ee9e703f
-22.9057,133.81949,MODIS,119.45,3469a00bb3cd4c41dac63313b9fe42bf
-22.88101,133.83264,MODIS,103.96,a4b9398a2b32f1d827740dfa9f33c77e
-22.87142,133.81496,MODIS,81.98,b95d25ce82f8aca2dc9bf77c1e4e36bb
-22.85819,133.82959,MODIS,64.58,50bc178718b56de04f3f7b87334d2aaf
