issuer_ticker,name,asset_class,weight_percent,price,nominal,market_value,notional_value,sector,isin,exchange,location,market_currency,fund_name,LEI
AAPL,APPLE INC,Equity,4.12,148.79,12308857,1831434833.03,1831434833.03,Information Technology,US0378331005,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,HWUPKR0MPOU8FGXBT394
MSFT,MICROSOFT CORP,Equity,3.62,305.21999999999997,5277669,1610850132.1799998,1610850132.1799998,Information Technology,US5949181045,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,INR2EJN1ERAN0W5ZP974
AMZN,AMAZON COM INC,Equity,2.63,3488.24,334802,1167869728.48,1167869728.48,Consumer Discretionary,US0231351067,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,ZXTILKJKG63JELOEG630
FB,FACEBOOK CLASS A INC,Equity,1.48,373.06,1767388,659341767.2800001,659341767.2800001,Communication,US30303M1027,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,BQ4BKCS1HXDV9HN80Z93
GOOGL,ALPHABET INC CLASS A,Equity,1.44,2872.2,222216,638248795.2,638248795.2,Communication,US02079K3059,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,5493006MHB84DD0ZWV18
GOOG,ALPHABET INC CLASS C,Equity,1.39,2887.4700000000003,214797,620219893.59,620219893.59,Communication,US02079K1079,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,5493006MHB84DD0ZWV18
TSLA,TESLA INC,Equity,1.03,756.99,604005,457225744.95,457225744.95,Consumer Discretionary,US88160R1014,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,54930043XZGB27CTOV49
NVDA,NVIDIA CORP,Equity,0.92,222.42,1829529,406923840.18,406923840.18,Information Technology,US67066G1040,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300S4KLFTLO7GSQ80
JPM,JPMORGAN CHASE & CO,Equity,0.79,158.09,2226513,351989440.17,351989440.17,Financials,US46625H1005,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,8I5DZWZKVSZI1NUHU748
JNJ,JOHNSON & JOHNSON,Equity,0.72,165.22,1944783,321317047.26,321317047.26,Health Care,US4781601046,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300G0CFPGEF6X2043
UNH,UNITEDHEALTH GROUP INC,Equity,0.65,416.84,695489,289907634.76,289907634.76,Health Care,US91324P1021,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300GHBMY8T5GXDE41
V,VISA INC CLASS A,Equity,0.63,224.33,1243270,278902759.1,278902759.1,Information Technology,US92826C8394,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,549300JZ4OKEHW3DPJ59
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,0.61,277.51,983550,272944960.5,272944960.5,Financials,US0846707026,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,5493000C01ZX7D35SD85
NESN,NESTLE SA,Equity,0.59,123.46,2135830,263681006.32,263681006.32,Consumer Staples,CH0038863350,SIX Swiss Exchange,Switzerland,CHF,iShares Core MSCI World UCITS ETF,KY37LUS27QQX7BB93L28
HD,HOME DEPOT INC,Equity,0.59,336.39,782603,263259823.17,263259823.17,Consumer Discretionary,US4370761029,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,QEKMOTMBBKA8I816DO57
PG,PROCTER & GAMBLE,Equity,0.59,144.11,1810304,260882909.44,260882909.44,Consumer Staples,US7427181091,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,2572IBTT8CCZW6AU4141
DIS,WALT DISNEY,Equity,0.55,183.34,1337700,245253918,245253918,Communication,US2546871060,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,7260JQNI6SCF9FIV2392
PYPL,PAYPAL HOLDINGS INC,Equity,0.52,282.96999999999997,821136,232356853.92,232356853.92,Information Technology,US70450Y1038,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,5493005X2GO78EFZ3E94
BAC,BANK OF AMERICA CORP,Equity,0.51,40.45,5656528,228806557.6,228806557.6,Financials,US0605051046,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,9DJT3UXIJIZJI4WXO774
MA,MASTERCARD INC CLASS A,Equity,0.51,346.31,657950,227854664.5,227854664.5,Information Technology,US57636Q1040,New York Stock Exchange Inc.,United States,USD,iShares Core MSCI World UCITS ETF,AR5L2ODV9HN37376R084
CMCSA,COMCAST CORP CLASS A,Equity,0.43,57.28,3354676,192155841.28,192155841.28,Communication,US20030N1019,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,51M0QTTNCGUN7KFCFZ59
ROG,ROCHE HOLDING PAR AG,Equity,0.43,372.9899999999999,513218,191427235.86,191427235.86,Health Care,CH0012032048,SIX Swiss Exchange,Switzerland,CHF,iShares Core MSCI World UCITS ETF,549300U41AUUVOAAOB37
NFLX,NETFLIX INC,Equity,0.42,586.5,321622,188631303,188631303,Communication,US64110L1061,"NASDAQ",United States,USD,iShares Core MSCI World UCITS ETF,549300Y7VHGU0I7CE873
